state_info;pat_type;prev_order;cur_order;NCount;ECount;Density;I;DL;IC_ssg;AD;IC_dssg;IC_dsimp;la;sumPOS;expectedEdges;NL;kws;nw;minPOS
0;add;;0;11;45;0.8181818181818182;172.272244262352;61.25823613754884;161.87099406400083;0.0;233.53048039990082;0.0;5.6617417109;0.8471698467195741;0.0;[27, 2, 6, 84, 75, 91, 100, 106, 41, 7, 65];45;55;inf
0;add;;1;7;20;0.9523809523809523;74.30969980289018;39.555828642123124;79.45894247200572;0.0;113.8655284450133;0.0;6.2364964712;0.32346485056565555;0.0;[187, 125, 176, 71, 72, 195, 169];20;21;inf
0;add;;2;16;62;0.5166666666666667;167.90467946586057;86.76988828846201;176.5269585992315;0.0;254.6745677543226;0.0;4.2243556887;1.848370574660889;0.0;[56, 29, 57, 83, 162, 76, 77, 174, 175, 180, 185, 190, 160, 177, 131, 205];62;120;inf
0;add;;3;7;18;0.8571428571428571;54.87272337072238;41.14079114284428;66.55149688073011;0.0;96.01351451356666;0.0;5.9494237834;0.32346485056565555;0.0;[92, 24, 25, 70, 38, 39, 108];18;21;inf
0;add;;4;6;14;0.9333333333333333;43.8011365168719;34.96070879198853;54.766194217688735;0.0;78.76184530886043;0.0;6.2364964712;0.2310463218326111;0.0;[264, 140, 171, 201, 204, 257];14;15;inf
0;add;;5;6;14;0.9333333333333333;43.801136516871885;34.96070879198853;54.766194217688735;0.0;78.76184530886042;0.0;6.2364964712;0.2310463218326111;0.0;[270, 1, 21, 20, 154, 26];14;15;inf
0;add;;6;5;10;1.0;28.14054961840084;30.36558894185395;41.73187262251587;0.0;58.50613856025479;0.0;6.2364964712;0.15403088122174075;0.0;[9, 10, 132, 36, 69];10;10;inf
0;add;;7;10;27;0.6;61.756405234284166;57.5111131939692;82.66994413092512;0.0;119.26751842825337;0.0;4.5631294223;0.6931389654978333;0.0;[133, 12, 105, 88, 196, 89, 5, 111, 11, 229];27;45;inf
0;add;;8;5;10;1.0;28.14054961840084;30.36558894185395;41.73187262251587;0.0;58.50613856025479;0.0;6.2364964712;0.15403088122174075;0.0;[51, 50, 94, 269, 157];10;10;inf
0;add;;9;5;9;0.9;19.143187086879074;30.36558894185395;34.32337857443584;0.0;49.508776028733024;0.0;6.2364964712;0.15403088122174075;0.0;[277, 135, 136, 143, 272];9;10;inf
0;add;;10;7;14;0.6666666666666666;22.798280033559962;42.36318356418073;45.16648477393346;0.0;65.16146359774069;0.0;4.8508114947;0.32346485056565555;0.0;[55, 81, 121, 134, 244, 54, 245];14;21;inf
0;add;;11;7;14;0.6666666666666666;22.798280033559962;42.36318356418073;45.16648477393346;0.0;65.16146359774069;0.0;4.8508114947;0.32346485056565555;0.0;[179, 26, 53, 108, 74, 230, 66];14;21;inf
0;add;;12;6;11;0.7333333333333333;16.80626184725373;36.96070879198853;37.26842410584012;0.0;53.76697063924226;0.0;5.1692652258;0.23104632183261112;0.0;[32, 28, 60, 31, 113, 114];11;15;inf
0;add;;13;4;6;1.0;9.333214044433511;25.770469091719356;25.03912357350952;0.0;35.10368313615287;0.0;6.2364964712;0.09241852873304444;0.0;[78, 77, 220, 219];6;6;inf
0;add;;14;5;9;0.9;19.143187086879074;30.36558894185395;34.32337857443584;0.0;49.508776028733024;0.0;6.2364964712;0.15403088122174075;0.0;[64, 3, 7, 107, 47];9;10;inf
0;add;;15;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[13, 14, 42, 134, 266];7;10;inf
0;add;;16;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[17, 18, 19, 248, 223];7;10;inf
0;add;;17;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[126, 2, 3, 93, 116];7;10;inf
0;add;;18;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[150, 1, 151, 168, 74];7;10;inf
0;add;;19;4;6;1.0;9.333214044433511;25.770469091719356;25.03912357350952;0.0;35.10368313615287;0.0;6.2364964712;0.09241852873304444;0.0;[183, 204, 198, 158];6;6;inf
0;add;;20;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[58, 48, 59, 117, 194];7;10;inf
0;add;;21;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[189, 74, 159, 201, 48];7;10;inf
0;add;;22;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[224, 42, 81, 231, 122];7;10;inf
0;add;;23;5;7;0.7;1.448180181448592;31.950551442575104;23.15023665947031;0.0;33.398731624023696;0.0;5.0049621746;0.15403088122174075;0.0;[37, 35, 93, 7, 36];7;10;inf
0;add;;24;4;5;0.8333333333333334;0.4549740983710109;25.770469091719356;18.17809200614615;0.0;26.225443190090367;0.0;5.7671022266;0.09241852873304446;0.0;[49, 20, 48, 176];5;6;inf
0;add;;25;4;5;0.8333333333333334;0.4549740983710109;25.770469091719356;18.17809200614615;0.0;26.225443190090367;0.0;5.7671022266;0.09241852873304446;0.0;[86, 87, 236, 54];5;6;inf
